year,offence,age,gender,ethnicity,outcome,value,region
2005,5,14,M,X,1,3,AUK
2009,3,14,M,X,1,3,AUK
2002,4,14,M,X,1,3,AUK
2005,12,14,M,X,1,3,AUK
2005,15,14,M,X,1,3,AUK
2006,16,14,M,X,1,3,AUK
2008,14,14,F,X,1,3,AUK
2009,14,14,M,X,1,3,AUK
2003,14,14,M,X,1,3,AUK
2005,15,14,F,X,1,3,AUK
1995,4,14,M,X,1,3,AUK
1997,4,14,M,X,1,3,AUK
1992,4,14,M,X,1,3,AUK
2002,15,14,M,X,1,3,AUK
1992,4,14,F,X,1,3,AUK
1993,4,14,F,X,1,3,AUK
1996,14,14,M,X,1,3,AUK
1997,14,14,M,X,1,3,AUK
2000,15,14,M,X,1,3,AUK
1992,14,14,M,X,1,3,AUK
1992,14,14,F,X,1,3,AUK
1993,14,14,F,X,1,3,AUK
2010,4,15,M,X,1,3,AUK
2012,4,15,M,X,1,3,AUK
2009,4,15,M,X,1,3,AUK
2010,14,15,M,X,1,3,AUK
2011,14,15,M,X,1,3,AUK
2012,14,15,F,X,1,3,AUK
2012,14,15,M,X,1,3,AUK
2009,14,15,M,X,1,3,AUK
2009,13,15,M,X,1,3,AUK
2009,15,15,M,X,1,3,AUK
2006,2,15,M,X,1,3,AUK
2006,7,15,M,X,1,3,AUK
2007,4,15,M,X,1,3,AUK
2008,4,15,M,X,1,3,AUK
2003,6,15,M,X,1,3,AUK
2004,4,15,M,X,1,3,AUK
2005,4,15,F,X,1,3,AUK
2006,4,15,F,X,1,3,AUK
2006,13,15,M,X,1,3,AUK
2007,14,15,M,X,1,3,AUK
2007,4,15,F,X,1,3,AUK
2008,4,15,F,X,1,3,AUK
2008,14,15,M,X,1,3,AUK
1996,6,15,M,X,1,3,AUK
1996,2,15,M,X,1,3,AUK
2005,14,15,M,X,1,3,AUK
2007,14,15,F,X,1,3,AUK
2008,14,15,F,X,1,3,AUK
2009,14,15,F,X,1,3,AUK
1999,14,15,M,X,1,3,AUK
2000,11,15,M,X,1,3,AUK
2000,14,15,M,X,1,3,AUK
2001,14,15,M,X,1,3,AUK
2001,15,15,M,X,1,3,AUK
2002,15,15,M,X,1,3,AUK
2002,14,15,M,X,1,3,AUK
2005,14,15,F,X,1,3,AUK
2005,15,15,F,X,1,3,AUK
2006,14,15,F,X,1,3,AUK
1992,15,15,M,X,1,3,AUK
1993,15,15,M,X,1,3,AUK
1993,14,15,M,X,1,3,AUK
1994,14,15,M,X,1,3,AUK
1997,14,15,F,X,1,3,AUK
1997,9,15,M,X,1,3,AUK
1998,9,15,F,X,1,3,AUK
1992,14,15,F,X,1,3,AUK
1992,15,15,F,X,1,3,AUK
1993,14,15,F,X,1,3,AUK
1994,14,15,F,X,1,3,AUK
1998,15,15,F,X,1,3,AUK
1999,15,15,F,X,1,3,AUK
2001,4,15,F,X,1,3,AUK
1995,14,15,F,X,1,3,AUK
2000,15,15,F,X,1,3,AUK
2002,14,15,F,X,1,3,AUK
2003,14,15,F,X,1,3,AUK
1995,15,15,F,X,1,3,AUK
2010,4,16,M,X,1,3,AUK
2010,3,16,M,X,1,3,AUK
2012,4,16,M,X,1,3,AUK
2009,3,16,M,X,1,3,AUK
2012,4,16,F,X,1,3,AUK
2006,9,16,F,X,1,3,AUK
2006,8,16,M,X,1,3,AUK
2006,7,16,M,X,1,3,AUK
2006,3,16,M,X,1,3,AUK
2007,8,16,M,X,1,3,AUK
2004,4,16,F,X,1,3,AUK
2004,4,16,M,X,1,3,AUK
2005,6,16,M,X,1,3,AUK
2005,3,16,M,X,1,3,AUK
2005,5,16,M,X,1,3,AUK
2009,4,16,F,X,1,3,AUK
2010,4,16,F,X,1,3,AUK
2010,2,16,F,X,1,3,AUK
2011,14,16,M,X,1,3,AUK
2012,14,16,M,X,1,3,AUK
1998,1,16,M,X,1,3,AUK
2003,8,16,M,X,1,3,AUK
2005,7,16,M,X,1,3,AUK
2006,15,16,M,X,1,3,AUK
2006,12,16,M,X,1,3,AUK
2007,13,16,M,X,1,3,AUK
2007,15,16,M,X,1,3,AUK
2008,12,16,M,X,1,3,AUK
2008,9,16,F,X,1,3,AUK
2009,15,16,M,X,1,3,AUK
2010,15,16,M,X,1,3,AUK
2010,10,16,M,X,1,3,AUK
2012,14,16,F,X,1,3,AUK
1999,4,16,X,X,1,3,AUK
2000,14,16,F,X,1,3,AUK
2000,15,16,F,X,1,3,AUK
2001,15,16,F,X,1,3,AUK
2003,15,16,F,X,1,3,AUK
2004,14,16,M,X,1,3,AUK
2005,13,16,M,X,1,3,AUK
2004,14,16,F,X,1,3,AUK
2004,15,16,F,X,1,3,AUK
2005,15,16,F,X,1,3,AUK
2005,14,16,F,X,1,3,AUK
2006,13,16,F,X,1,3,AUK
2007,14,16,F,X,1,3,AUK
2007,4,16,X,X,1,3,AUK
2009,14,16,F,X,1,3,AUK
2002,15,16,M,X,1,3,AUK
2003,15,16,M,X,1,3,AUK
2004,16,16,M,X,1,3,AUK
2004,15,16,M,X,1,3,AUK
2008,15,16,F,X,1,3,AUK
2010,15,16,X,X,1,3,AUK
2010,15,16,F,X,1,3,AUK
1997,8,16,M,X,1,3,AUK
1998,8,16,M,X,1,3,AUK
1998,7,16,M,X,1,3,AUK
1999,15,16,F,X,1,3,AUK
1998,13,16,F,X,1,3,AUK
2009,15,16,X,X,1,3,AUK
1997,9,16,M,X,1,3,AUK
1997,9,16,F,X,1,3,AUK
1992,15,16,M,X,1,3,AUK
1992,15,16,F,X,1,3,AUK
1992,16,16,M,X,1,3,AUK
1993,14,16,F,X,1,3,AUK
1993,15,16,M,X,1,3,AUK
1994,14,16,F,X,1,3,AUK
1995,14,16,F,X,1,3,AUK
1995,15,16,M,X,1,3,AUK
1996,14,16,F,X,1,3,AUK
1997,14,16,F,X,1,3,AUK
1997,15,16,F,X,1,3,AUK
1998,15,16,M,X,1,3,AUK
2006,4,15,M,X,1,6,AUK
1997,4,15,F,X,1,6,AUK
1998,14,15,M,X,1,6,AUK
2000,15,15,M,X,1,6,AUK
1992,14,15,M,X,1,6,AUK
1995,14,15,M,X,1,6,AUK
1996,14,15,M,X,1,6,AUK
1997,14,15,M,X,1,6,AUK
1993,4,15,F,X,1,6,AUK
1999,4,15,F,X,1,6,AUK
2011,4,16,M,X,1,6,AUK
2008,4,16,M,X,1,6,AUK
2005,4,16,F,X,1,6,AUK
2007,4,16,F,X,1,6,AUK
2008,4,16,F,X,1,6,AUK
2010,14,16,F,X,1,6,AUK
2010,14,16,M,X,1,6,AUK
2002,14,16,F,X,1,6,AUK
2006,14,16,F,X,1,6,AUK
2008,14,16,F,X,1,6,AUK
2005,15,16,M,X,1,6,AUK
1999,15,16,M,X,1,6,AUK
1999,14,16,F,X,1,6,AUK
1992,14,16,F,X,1,6,AUK
1994,15,16,M,X,1,6,AUK
1995,14,16,M,X,1,6,AUK
1996,15,16,M,X,1,6,AUK
1997,15,16,M,X,1,6,AUK
1998,14,16,F,X,1,6,AUK
2005,4,15,M,X,1,9,AUK
2000,4,15,M,X,1,9,AUK
2003,14,15,M,X,1,9,AUK
2003,4,15,F,X,1,9,AUK
1992,4,15,F,X,1,9,AUK
1994,4,15,F,X,1,9,AUK
1998,4,15,F,X,1,9,AUK
2000,4,15,F,X,1,9,AUK
2002,4,15,F,X,1,9,AUK
2009,4,16,M,X,1,9,AUK
2006,4,16,F,X,1,9,AUK
2007,14,16,M,X,1,9,AUK
2008,14,16,M,X,1,9,AUK
2003,14,16,F,X,1,9,AUK
2003,14,16,M,X,1,9,AUK
2000,15,16,M,X,1,9,AUK
2001,15,16,M,X,1,9,AUK
2003,4,15,M,X,1,12,AUK
2001,4,15,M,X,1,12,AUK
1996,4,15,F,X,1,12,AUK
2006,14,16,M,X,1,12,AUK
2009,14,16,M,X,1,12,AUK
2000,14,16,M,X,1,12,AUK
2005,14,16,M,X,1,12,AUK
1998,14,16,M,X,1,12,AUK
1996,14,16,M,X,1,12,AUK
1997,14,16,M,X,1,12,AUK
2002,4,15,M,X,1,15,AUK
1995,4,15,F,X,1,15,AUK
2001,14,16,M,X,1,15,AUK
1994,14,16,M,X,1,15,AUK
1999,4,15,M,X,1,18,AUK
2007,4,16,M,X,1,18,AUK
2002,4,16,F,X,1,18,AUK
2003,4,16,F,X,1,18,AUK
2000,4,16,F,X,1,18,AUK
1994,4,15,M,X,1,21,AUK
1996,4,15,M,X,1,21,AUK
1997,4,15,M,X,1,21,AUK
2002,14,16,M,X,1,21,AUK
1999,14,16,M,X,1,21,AUK
1992,14,16,M,X,1,21,AUK
1993,14,16,M,X,1,21,AUK
1993,4,15,M,X,1,24,AUK
1995,4,15,M,X,1,24,AUK
2006,4,16,M,X,1,24,AUK
2001,4,16,F,X,1,24,AUK
2003,4,16,M,X,1,24,AUK
2005,4,16,M,X,1,24,AUK
1992,4,15,M,X,1,27,AUK
1993,4,16,F,X,1,27,AUK
1995,4,16,F,X,1,27,AUK
1996,4,16,F,X,1,27,AUK
1998,4,15,M,X,1,30,AUK
1999,4,16,F,X,1,30,AUK
1994,4,16,F,X,1,30,AUK
1997,4,16,F,X,1,36,AUK
1998,4,16,F,X,1,42,AUK
2002,4,16,M,X,1,54,AUK
1992,4,16,F,X,1,54,AUK
2001,4,16,M,X,1,60,AUK
2000,4,16,M,X,1,63,AUK
1999,4,16,M,X,1,66,AUK
1994,4,16,M,X,1,78,AUK
1997,4,16,M,X,1,87,AUK
1996,4,16,M,X,1,90,AUK
1993,4,16,M,X,1,93,AUK
1995,4,16,M,X,1,93,AUK
1998,4,16,M,X,1,96,AUK
1992,4,16,M,X,1,120,AUK
2010,2,14,M,X,A,3,AUK
2010,3,14,M,X,A,3,AUK
2011,10,14,M,X,A,3,AUK
2011,7,14,M,X,A,3,AUK
2011,6,14,F,X,A,3,AUK
2011,2,14,F,X,A,3,AUK
2009,9,14,F,X,A,3,AUK
2009,10,14,M,X,A,3,AUK
2009,7,14,M,X,A,3,AUK
2009,8,14,M,X,A,3,AUK
2009,5,14,M,X,A,3,AUK
2009,6,14,M,X,A,3,AUK
2009,3,14,M,X,A,3,AUK
2008,8,14,M,X,A,3,AUK
2008,8,14,F,X,A,3,AUK
2008,9,14,M,X,A,3,AUK
2008,9,14,F,X,A,3,AUK
2006,7,14,M,X,A,3,AUK
2006,8,14,M,X,A,3,AUK
2006,9,14,M,X,A,3,AUK
2005,8,14,M,X,A,3,AUK
2005,7,14,M,X,A,3,AUK
2010,13,14,M,X,A,3,AUK
2003,8,14,M,X,A,3,AUK
2003,7,14,M,X,A,3,AUK
2000,4,14,F,X,A,3,AUK
2009,15,14,M,X,A,3,AUK
2009,12,14,M,X,A,3,AUK
2008,13,14,M,X,A,3,AUK
2006,12,14,M,X,A,3,AUK
2006,13,14,M,X,A,3,AUK
2006,8,14,F,X,A,3,AUK
2005,13,14,M,X,A,3,AUK
2005,12,14,M,X,A,3,AUK
1998,7,14,F,X,A,3,AUK
1997,2,14,F,X,A,3,AUK
1995,7,14,M,X,A,3,AUK
1994,4,14,M,X,A,3,AUK
2003,13,14,M,X,A,3,AUK
2003,12,14,M,X,A,3,AUK
1998,8,14,F,X,A,3,AUK
1995,8,14,M,X,A,3,AUK
1994,8,14,M,X,A,3,AUK
2000,14,14,F,X,A,3,AUK
2000,15,14,F,X,A,3,AUK
1998,12,14,F,X,A,3,AUK
1992,6,14,M,X,A,3,AUK
1992,14,14,M,X,A,3,AUK
2011,2,15,F,X,A,3,AUK
2010,2,15,M,X,A,3,AUK
2012,3,15,M,X,A,3,AUK
2012,4,15,M,X,A,3,AUK
2011,13,15,M,X,A,3,AUK
2011,12,15,M,X,A,3,AUK
2011,11,15,M,X,A,3,AUK
2011,4,15,M,X,A,3,AUK
2010,6,15,M,X,A,3,AUK
2010,6,15,F,X,A,3,AUK
2010,12,15,M,X,A,3,AUK
2009,2,15,M,X,A,3,AUK
2008,2,15,M,X,A,3,AUK
2011,14,15,M,X,A,3,AUK
2009,7,15,M,X,A,3,AUK
2008,3,15,M,X,A,3,AUK
2007,2,15,M,X,A,3,AUK
2007,10,15,M,X,A,3,AUK
2005,7,15,M,X,A,3,AUK
2005,8,15,M,X,A,3,AUK
2005,2,15,M,X,A,3,AUK
2009,13,15,M,X,A,3,AUK
2008,5,15,F,X,A,3,AUK
2008,2,15,F,X,A,3,AUK
2006,14,15,M,X,A,3,AUK
2006,4,15,F,X,A,3,AUK
2005,4,15,M,X,A,3,AUK
2005,2,15,F,X,A,3,AUK
2004,4,15,M,X,A,3,AUK
2003,8,15,M,X,A,3,AUK
2003,6,15,M,X,A,3,AUK
2003,4,15,M,X,A,3,AUK
2009,7,15,F,X,A,3,AUK
2008,13,15,F,X,A,3,AUK
2008,9,15,F,X,A,3,AUK
2007,6,15,F,X,A,3,AUK
2005,13,15,M,X,A,3,AUK
2005,14,15,M,X,A,3,AUK
2005,12,15,M,X,A,3,AUK
2005,11,15,M,X,A,3,AUK
